"","category","name","reviewer","review","date","ratings"
"55","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Sussex Buyer","







  
  
    These weren't what I was expecting. I am a size 10 and ordered the right size, they were very tight and uncomfortable to wear. I would suggest ordering a size above as to not be disappointed. Otherwise, very light and easy to clean.
  
","Reviewed in the United Kingdom on 20 October 2023","Previous page"
"56","Slides","        PUMA Unisex's Purecat Slide Sandal       ","gordon ","







  
  
    These puma slides are very light weight to wear and are extremely comfortable to have on my feet when wandering around the house.
  
","Reviewed in the United Kingdom on 16 January 2024","4.2 out of 5 stars"
"57","Slides","        PUMA Unisex's Purecat Slide Sandal       ","gordon ","







  
  
    When your feet are soaking wet these are great to wear in place of your slippers until you dry off.  Not sure about the durability as I haven't had them long enough but they seem durable.
  
","Reviewed in the United Kingdom on 7 February 2024","3.9 out of 5 stars"
"58","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Family Friendly Guide","







  
  
    Sizing is small
  
","Reviewed in the United Kingdom on 1 November 2023","4.4 out of 5 stars"
"59","Slides","        PUMA Unisex's Purecat Slide Sandal       ","PaphosBound","







  
    PUMA no decepciona nunca. Excelente calidad. Muy recomendable
  
  
","Reviewed in Mexico on 21 June 2023","4.4 out of 5 stars"
"60","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Rosemount","







  
    Demasiado delgado
  
  
","Reviewed in Mexico on 4 January 2023","4.2 out of 5 stars"
"61","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","adidas Men's Adilette Aqua Slipper","







  
  
    order 1 size bigger, usually i wear 11 but had to get 12
  
","Reviewed in the United Kingdom on 18 November 2023","4.1 out of 5 stars"
"62","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Amazon Customer","







  
  
    These are super sliders, good value. Unfortunately size 13 but not wide enough for my husband’s broad feet. However, my grandson is delighted with them!
  
","Reviewed in the United Kingdom on 23 October 2023","Previous page"
"63","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Amazon Customer","







  
  
    Adidas slider sandals: ""Adilette Aqua"" FY8047; SIZE 9UK &US; FR 43; JP 275; CHN 265. Made in Vietnam. New, original, in sealed bag with QR & BAR CODES factory stickers, & ADIDAS Hanger. Sold & delivered by Amazon UK, at a welcome discount. The Mrs & I have had items, such as clothes, (and even a 2016 MICROSOFT 640XL, which still works well for calls & SMS, and calculations) made in Vietnam; and found their quality control high. * A light blue, with white stripes across the instep, which, I realised would suit a neighbour, as they match his Fiat 500 - so I really should show them to him! There is enclosed a long list, on a small card, of 21 activities, which the sandals are suitable for - including walking, cycling, golf, & swimming - but not for bobsleighing, before anyone asks! These are of a strong build quality, & a good fit across the instep; & leave a generous gap of around 3cm, front & rear, which I require as a buffer zone for my toes & heals (my normal size is UK 9.) CONCLUSION: Recommended on quality for the price. If, like myself, you can be a bit clumsy, with a long history of broken crockery and glasses; and I  never want to walk again into an abandoned wooden pallet - in flip flops, - I also recommend your choosing your usual shoe size, as a generous fit, or one size up! ❗ UPDATE: mid-July 2023. I have sunk into the sole of the sandals, as per the shape of my feet. I recently saw a young man  in a park in Nike sliders, who had sunk further into his, than I; likely, he paid a lot more for his! *In comparison, the chunky Mrs has not sunk into her genuine CROCS (See my Review.) They were on offer; and I ordered a pair of unattractive White ones, on price, and minus the badge, but they were waaaay too big, even with socks on. So, I recommend the CROCS, if on offer, and if you order one size up, which worked for her. If on a firm budget, seems only the company name is the difference with the competition. The Mrs is very pleased with her CROCS, so, then, I am not subject to her kicking them off in my direction!
  
","Reviewed in the United Kingdom on 2 July 2023","Next page"
"64","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Miroslav Nedevski","







  
  
    The Adidas slippers I purchased on Amazon have been a delightful addition to my daily routine. Though a bit pricey, they prove to be worth every penny. The perfect fit for my size adds to the overall comfort. I find myself using them daily around the house or for quick local outings, and they've been a game-changer. What's particularly impressive is how they resist getting dirty easily, maintaining their sleek appearance. Despite the initial cost, the durability, comfort, and style make these Adidas slippers a valuable investment that I'm happy to have made.
  
","Reviewed in the United Kingdom on 20 December 2023","4.1 out of 5 stars"
"65","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Hilary","







  
  
    These Adidas slippers would have been perfect if they had of fitted correctly! They are a lot smaller than they should be! I had ordered a size 10 for my son but they were more like a size 8/9! But other than that they are fine. These are obviously NOT the Brand make of Adidas! So if ordering bear this in mind, and order up in size. They are good value for money if you are looking for a budget slider!
  
","Reviewed in the United Kingdom on 6 February 2024","Previous page"
"66","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Rich","







  
  
    These are lovely to wear. Comfortable and soft soled. The actual slip on is as light as a feather. They are weightless. I'm delighted with them
  
","Reviewed in the United Kingdom on 1 February 2024","Next page"
"67","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Mohammed Hussain","







  
  
    Bought these as a Christmas present for my boyfriend to replace his old ones. They fit him perfectly although appear a lot smaller than his old ones, though appearing quite narrow they still fit his wide feet. They are made of a strong and high quality material which will hopefully last the same time or longer than his old pair which were also Adidas brand and pretty sure he had them for 8+ years. These are definitely great as easy to put on slides in the house and quick trips outside as well. They are fully rubber so also fully waterproof.
  
","Reviewed in the United Kingdom on 10 January 2024","Previous page"
"68","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Smarty","







  
  
    I like the colour I like the design and a comfort but they do come up very narrow. I usually wear size 8 couldn't even get into those. if you plan it to wear them like a flip-flop ie no socks, then one size up will do but if you're planning to wear socks with it as seems to be the fashion at the moment you probably need to go up another size. Beat on mind this is the aqua version.That said even a size up the left is very tight the right is fine. Usually it is the other way around for me. And I checked and has size 9 embossed.
  
","Reviewed in the United Kingdom on 1 November 2023","4.2 out of 5 stars"
"69","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","LEO ","







  
    Son cómodas a pesar de que no son suaves, no pesan y no se resbalan.
  
  
","Reviewed in Mexico on 30 December 2023","4.2 out of 5 stars"
"70","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Maddie","







  
    Muy buenas sandalias de material duro y cómodas solo qué hay que pedir un número más, vienen reducidas.
  
  
","Reviewed in Mexico on 9 July 2023","4.2 out of 5 stars"
